batchId,kanda,sargaRange,source,edition,recordCount,recordTypes,risk,confidence,sourceVerification,duplicateResult,variantResult,recommendedDecision
"APPROVAL-011","Aranya Kanda","19-19","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-012","Aranya Kanda","2-2","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-013","Aranya Kanda","20-20","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-014","Aranya Kanda","21-21","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-015","Aranya Kanda","22-22","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-016","Aranya Kanda","23-23","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-017","Aranya Kanda","24-24","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-018","Aranya Kanda","25-25","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-019","Aranya Kanda","26-26","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-020","Aranya Kanda","27-27","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-021","Aranya Kanda","28-28","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-022","Aranya Kanda","29-29","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-023","Aranya Kanda","3-3","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-024","Aranya Kanda","30-30","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-025","Aranya Kanda","31-31","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-026","Aranya Kanda","32-32","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-027","Aranya Kanda","33-33","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-028","Aranya Kanda","34-34","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-029","Aranya Kanda","35-35","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-030","Aranya Kanda","36-36","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-031","Aranya Kanda","37-37","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-032","Aranya Kanda","38-38","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-033","Aranya Kanda","39-39","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-034","Aranya Kanda","4-4","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-035","Aranya Kanda","40-40","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-036","Aranya Kanda","41-41","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-037","Aranya Kanda","42-42","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-038","Aranya Kanda","43-43","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-039","Aranya Kanda","44-44","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-040","Aranya Kanda","45-45","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-041","Aranya Kanda","46-46","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-042","Aranya Kanda","47-47","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-043","Aranya Kanda","48-48","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-044","Aranya Kanda","49-49","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-045","Aranya Kanda","5-5","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-046","Aranya Kanda","50-50","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-047","Aranya Kanda","51-51","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-048","Aranya Kanda","52-52","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-049","Aranya Kanda","53-53","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-050","Aranya Kanda","54-54","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-051","Aranya Kanda","55-55","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-052","Aranya Kanda","56-56","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-053","Aranya Kanda","57-57","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-054","Aranya Kanda","58-58","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-055","Aranya Kanda","59-59","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-056","Aranya Kanda","6-6","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-057","Aranya Kanda","60-60","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-058","Aranya Kanda","61-61","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-059","Aranya Kanda","62-62","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-060","Aranya Kanda","63-63","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-061","Aranya Kanda","64-64","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-062","Aranya Kanda","65-65","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-063","Aranya Kanda","66-66","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-064","Aranya Kanda","67-67","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-065","Aranya Kanda","68-68","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-066","Aranya Kanda","69-69","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-067","Aranya Kanda","7-7","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-068","Aranya Kanda","70-70","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-069","Aranya Kanda","71-71","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-070","Aranya Kanda","72-72","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-071","Aranya Kanda","73-73","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-072","Aranya Kanda","74-74","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-073","Aranya Kanda","75-75","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",2,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-074","Aranya Kanda","8-8","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-075","Aranya Kanda","9-9","VALMIKI_RAMAYANA_ARANYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-076","Ayodhya Kanda","100-100","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-077","Ayodhya Kanda","101-101","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-078","Ayodhya Kanda","102-102","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-079","Ayodhya Kanda","103-103","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-080","Ayodhya Kanda","104-104","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-081","Ayodhya Kanda","105-105","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-082","Ayodhya Kanda","106-106","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-083","Ayodhya Kanda","107-107","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-084","Ayodhya Kanda","108-108","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-085","Ayodhya Kanda","109-109","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-086","Ayodhya Kanda","110-110","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-087","Ayodhya Kanda","111-111","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-088","Ayodhya Kanda","112-112","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-089","Ayodhya Kanda","113-113","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-090","Ayodhya Kanda","114-114","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-091","Ayodhya Kanda","115-115","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-092","Ayodhya Kanda","96-96","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-093","Ayodhya Kanda","97-97","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-094","Ayodhya Kanda","98-98","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-095","Ayodhya Kanda","99-99","VALMIKI_RAMAYANA_AYODHYA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.98,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-096","Kishkindha Kanda","1-1","VALMIKI_RAMAYANA_KISHKINDHA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-097","Kishkindha Kanda","10-10","VALMIKI_RAMAYANA_KISHKINDHA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-098","Kishkindha Kanda","11-11","VALMIKI_RAMAYANA_KISHKINDHA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
"APPROVAL-099","Kishkindha Kanda","12-12","VALMIKI_RAMAYANA_KISHKINDHA_KANDA|SANSKRIT_DOCUMENTS_VALMIKI|READRAMAYANA_GITA_PRESS_COMPARISON","",1,"source_record","LOW",0.99,"PASS","PASS","PASS","APPROVE_BATCH"
